File Name,Average Dependency Distance,Standard Deviation,Coefficient of Variation (CV)
dependency_parsing_response_en_en_1.xml,3.1050,0.2392,7.70%
dependency_parsing_response_en_en_2.xml,3.1652,0.1984,6.27%
dependency_parsing_response_en_en_3.xml,3.3541,0.2259,6.73%
dependency_parsing_response_en_en_4.xml,3.1888,0.2721,8.53%
dependency_parsing_response_en_en_5.xml,3.1056,0.1832,5.90%
dependency_parsing_response_en_en_6.xml,3.0934,0.2379,7.69%
dependency_parsing_response_en_en_7.xml,3.2514,0.2497,7.68%
dependency_parsing_response_en_en_8.xml,2.9069,0.1856,6.39%
dependency_parsing_response_en_en_9.xml,3.0296,0.3361,11.09%
dependency_parsing_response_en_en_10.xml,2.8596,0.2345,8.20%
dependency_parsing_response_en_zh_1.xml,4.1064,0.5532,13.47%
dependency_parsing_response_en_zh_2.xml,4.0046,0.3541,8.84%
dependency_parsing_response_en_zh_3.xml,4.1905,0.4191,10.00%
dependency_parsing_response_en_zh_4.xml,3.8605,0.5285,13.69%
dependency_parsing_response_en_zh_5.xml,3.9880,0.3884,9.74%
dependency_parsing_response_en_zh_6.xml,3.6261,0.3570,9.84%
dependency_parsing_response_en_zh_7.xml,4.1153,0.3860,9.38%
dependency_parsing_response_en_zh_8.xml,3.9378,0.3226,8.19%
dependency_parsing_response_en_zh_9.xml,3.6452,0.6990,19.18%
dependency_parsing_response_en_zh_10.xml,3.5126,0.3265,9.30%
dependency_parsing_response_zh_en_1.xml,3.0736,0.2852,9.28%
dependency_parsing_response_zh_en_2.xml,3.0632,0.1837,6.00%
dependency_parsing_response_zh_en_3.xml,3.3364,0.1845,5.53%
dependency_parsing_response_zh_en_4.xml,3.0995,0.2147,6.93%
dependency_parsing_response_zh_en_5.xml,3.1396,0.2048,6.52%
dependency_parsing_response_zh_en_6.xml,2.9518,0.1986,6.73%
dependency_parsing_response_zh_en_7.xml,3.1560,0.1983,6.28%
dependency_parsing_response_zh_en_8.xml,2.8647,0.1898,6.63%
dependency_parsing_response_zh_en_9.xml,3.0185,0.3060,10.14%
dependency_parsing_response_zh_en_10.xml,2.7463,0.1918,6.99%
dependency_parsing_response_zh_zh_1.xml,4.4069,0.7339,16.65%
dependency_parsing_response_zh_zh_2.xml,4.0723,0.3136,7.70%
dependency_parsing_response_zh_zh_3.xml,4.1240,0.3985,9.66%
dependency_parsing_response_zh_zh_4.xml,3.6851,0.4761,12.92%
dependency_parsing_response_zh_zh_5.xml,3.9735,0.4017,10.11%
dependency_parsing_response_zh_zh_6.xml,3.5159,0.2789,7.93%
dependency_parsing_response_zh_zh_7.xml,3.9454,0.5399,13.68%
dependency_parsing_response_zh_zh_8.xml,4.2085,0.4245,10.09%
dependency_parsing_response_zh_zh_9.xml,3.7414,0.7090,18.95%
dependency_parsing_response_zh_zh_10.xml,3.4482,0.3318,9.62%
